New York Bus (NYBus) cycle		
Source: West Virginia University		
		
DieselNet.com, 2003.07		
https://dieselnet.com/standards/cycles/nybus.php		
		
Time	Speed	
s	mph	
		
0.1	0	0
0.2	0	0
0.3	0	0
0.4	0	0
0.5	0	0
0.6	0	0
0.7	0	0
0.8	0	0
0.9	0	0
1	0	0
1.1	0	0
1.2	0	0
1.3	0	0
1.4	0	0
1.5	0	0
1.6	0	0
1.7	0	0
1.8	0	0
1.9	0	0
2	0	0
2.1	0	0
2.2	0	0
2.3	0	0
2.4	0	0
2.5	0	0
2.6	0	0
2.7	0	0
2.8	0	0
2.9	0	0
3	0	0
3.1	0	0
3.2	0	0
3.3	0	0
3.4	0	0
3.5	0	0
3.6	0	0
3.7	0	0
3.8	0	0
3.9	0	0
4	0	0
4.1	0	0
4.2	0	0
4.3	0	0
4.4	0	0
4.5	0	0
4.6	0	0
4.7	0	0
4.8	0	0
4.9	0	0
5	0	0
5.1	0	0
5.2	0	0
5.3	0	0
5.4	0	0
5.5	0	0
5.6	0	0
5.7	0	0
5.8	0	0
5.9	0	0
6	0	0
6.1	0	0
6.2	0	0
6.3	0	0
6.4	0	0
6.5	0	0
6.6	0	0
6.7	0	0
6.8	0	0
6.9	0	0
7	0	0
7.1	0	0
7.2	0	0
7.3	0	0
7.4	0	0
7.5	0	0
7.6	0	0
7.7	0	0
7.8	0	0
7.9	0	0
8	0	0
8.1	0	0
8.2	0	0
8.3	0	0
8.4	0	0
8.5	0	0
8.6	0	0
8.7	0	0
8.8	0	0
8.9	0	0
9	0	0
9.1	0	0
9.2	0	0
9.3	0	0
9.4	0	0
9.5	0	0
9.6	0	0
9.7	0	0
9.8	0	0
9.9	0	0
10	0	0
10.1	0	0
10.2	0	0
10.3	0	0
10.4	0	0
10.5	0	0
10.6	0	0
10.7	0	0
10.8	0	0
10.9	0	0
11	0	0
11.1	0	0
11.2	0	0
11.3	0	0
11.4	0	0
11.5	0	0
11.6	0	0
11.7	0	0
11.8	0	0
11.9	0	0
12	0	0
12.1	0	0
12.2	0	0
12.3	0	0
12.4	0	0
12.5	0	0
12.6	0	0
12.7	0	0
12.8	0	0
12.9	0	0
13	0	0
13.1	0	0
13.2	0	0
13.3	0	0
13.4	0	0
13.5	0	0
13.6	0	0
13.7	0	0
13.8	0	0
13.9	0	0
14	0	0
14.1	0	0
14.2	0	0
14.3	0	0
14.4	0	0
14.5	0	0
14.6	0	0
14.7	0	0
14.8	0	0
14.9	0	0
15	0	0
15.1	0.5	0,5
15.2	1	1
15.3	1.4	1,4
15.4	1.9	1,9
15.5	2.4	2,4
15.6	2.9	2,9
15.7	3.4	3,4
15.8	3.8	3,8
15.9	4.3	4,3
16	4.8	4,8
16.1	5.3	5,3
16.2	5.8	5,8
16.3	6.2	6,2
16.4	6.7	6,7
16.5	7.2	7,2
16.6	7.7	7,7
16.7	8.2	8,2
16.8	8.6	8,6
16.9	9.1	9,1
17	9.6	9,6
17.1	9.7	9,7
17.2	9.8	9,8
17.3	10	10
17.4	10.1	10,1
17.5	10.2	10,2
17.6	10.3	10,3
17.7	10.4	10,4
17.8	10.6	10,6
17.9	10.7	10,7
18	10.8	10,8
18.1	10.8	10,8
18.2	10.8	10,8
18.3	10.7	10,7
18.4	10.7	10,7
18.5	10.7	10,7
18.6	10.7	10,7
18.7	10.7	10,7
18.8	10.6	10,6
18.9	10.6	10,6
19	10.6	10,6
19.1	10.6	10,6
19.2	10.5	10,5
19.3	10.5	10,5
19.4	10.4	10,4
19.5	10.4	10,4
19.6	10.4	10,4
19.7	10.3	10,3
19.8	10.3	10,3
19.9	10.2	10,2
20	10.2	10,2
20.1	10.1	10,1
20.2	10.1	10,1
20.3	10	10
20.4	10	10
20.5	9.9	9,9
20.6	9.8	9,8
20.7	9.8	9,8
20.8	9.7	9,7
20.9	9.7	9,7
21	9.6	9,6
21.1	9.5	9,5
21.2	9.5	9,5
21.3	9.4	9,4
21.4	9.4	9,4
21.5	9.3	9,3
21.6	9.2	9,2
21.7	9.2	9,2
21.8	9.1	9,1
21.9	9.1	9,1
22	9	9
22.1	9	9
22.2	9	9
22.3	9.1	9,1
22.4	9.1	9,1
22.5	9.1	9,1
22.6	9.1	9,1
22.7	9.1	9,1
22.8	9.2	9,2
22.9	9.2	9,2
23	9.2	9,2
23.1	9.4	9,4
23.2	9.5	9,5
23.3	9.7	9,7
23.4	9.8	9,8
23.5	10	10
23.6	10.2	10,2
23.7	10.3	10,3
23.8	10.5	10,5
23.9	10.6	10,6
24	10.8	10,8
24.1	11	11
24.2	11.2	11,2
24.3	11.3	11,3
24.4	11.5	11,5
24.5	11.7	11,7
24.6	11.9	11,9
24.7	12.1	12,1
24.8	12.2	12,2
24.9	12.4	12,4
25	12.6	12,6
25.1	12.5	12,5
25.2	12.4	12,4
25.3	12.2	12,2
25.4	12.1	12,1
25.5	12	12
25.6	11.9	11,9
25.7	11.8	11,8
25.8	11.6	11,6
25.9	11.5	11,5
26	11.4	11,4
26.1	11	11
26.2	10.7	10,7
26.3	10.3	10,3
26.4	10	10
26.5	9.6	9,6
26.6	9.2	9,2
26.7	8.9	8,9
26.8	8.5	8,5
26.9	8.2	8,2
27	7.8	7,8
27.1	7.4	7,4
27.2	7.1	7,1
27.3	6.7	6,7
27.4	6.4	6,4
27.5	6	6
27.6	5.6	5,6
27.7	5.3	5,3
27.8	4.9	4,9
27.9	4.6	4,6
28	4.2	4,2
28.1	4.1	4,1
28.2	4	4
28.3	3.8	3,8
28.4	3.7	3,7
28.5	3.6	3,6
28.6	3.5	3,5
28.7	3.4	3,4
28.8	3.2	3,2
28.9	3.1	3,1
29	3	3
29.1	2.9	2,9
29.2	2.8	2,8
29.3	2.6	2,6
29.4	2.5	2,5
29.5	2.4	2,4
29.6	2.3	2,3
29.7	2.2	2,2
29.8	2	2
29.9	1.9	1,9
30	1.8	1,8
30.1	1.6	1,6
30.2	1.4	1,4
30.3	1.3	1,3
30.4	1.1	1,1
30.5	0.9	0,9
30.6	0.7	0,7
30.7	0.5	0,5
30.8	0.4	0,4
30.9	0.2	0,2
31	0	0
31.1	0	0
31.2	0	0
31.3	0	0
31.4	0	0
31.5	0	0
31.6	0	0
31.7	0	0
31.8	0	0
31.9	0	0
32	0	0
32.1	0	0
32.2	0	0
32.3	0	0
32.4	0	0
32.5	0	0
32.6	0	0
32.7	0	0
32.8	0	0
32.9	0	0
33	0	0
33.1	0	0
33.2	0	0
33.3	0	0
33.4	0	0
33.5	0	0
33.6	0	0
33.7	0	0
33.8	0	0
33.9	0	0
34	0	0
34.1	0	0
34.2	0	0
34.3	0	0
34.4	0	0
34.5	0	0
34.6	0	0
34.7	0	0
34.8	0	0
34.9	0	0
35	0	0
35.1	0	0
35.2	0	0
35.3	0	0
35.4	0	0
35.5	0	0
35.6	0	0
35.7	0	0
35.8	0	0
35.9	0	0
36	0	0
36.1	0	0
36.2	0	0
36.3	0	0
36.4	0	0
36.5	0	0
36.6	0	0
36.7	0	0
36.8	0	0
36.9	0	0
37	0	0
37.1	0	0
37.2	0	0
37.3	0	0
37.4	0	0
37.5	0	0
37.6	0	0
37.7	0	0
37.8	0	0
37.9	0	0
38	0	0
38.1	0	0
38.2	0	0
38.3	0	0
38.4	0	0
38.5	0	0
38.6	0	0
38.7	0	0
38.8	0	0
38.9	0	0
39	0	0
39.1	0	0
39.2	0	0
39.3	0	0
39.4	0	0
39.5	0	0
39.6	0	0
39.7	0	0
39.8	0	0
39.9	0	0
40	0	0
40.1	0	0
40.2	0	0
40.3	0	0
40.4	0	0
40.5	0	0
40.6	0	0
40.7	0	0
40.8	0	0
40.9	0	0
41	0	0
41.1	0	0
41.2	0	0
41.3	0	0
41.4	0	0
41.5	0	0
41.6	0	0
41.7	0	0
41.8	0	0
41.9	0	0
42	0	0
42.1	0	0
42.2	0	0
42.3	0	0
42.4	0	0
42.5	0	0
42.6	0	0
42.7	0	0
42.8	0	0
42.9	0	0
43	0	0
43.1	0	0
43.2	0	0
43.3	0	0
43.4	0	0
43.5	0	0
43.6	0	0
43.7	0	0
43.8	0	0
43.9	0	0
44	0	0
44.1	0	0
44.2	0	0
44.3	0	0
44.4	0	0
